wind_speed;SWT93/2300;SWT82/2300;V27/225;SWT101/3000;NM48/750
0;0;0;0;0;0
0.5;0;0;0;0;0
1;0;0;0;0;0
1.5;0;0;0;0;0
2;0;0;0;0;0
2.5;0;0;0;0;0
3;0;0;0;0;0
3.5;26000;30000;2000;50000;10000
4;53000;79000;5000;113000;20000
4.5;100000;121000;10000;183000;37000
5;163000;170000;17000;253000;53000
5.5;278000;227000;25000;342000;75000
6;393000;280000;32000;430000;97000
6.5;537000;345000;43000;569000;126000
7;682000;420000;53000;707000;155000
7.5;860000;510000;68000;891000;200000
8;1039000;654000;82000;1075000;245000
8.5;1234000;778000;99000;1306000;297000
9;1430000;930000;115000;1537000;349000
9.5;1580000;1129000;132000;1796000;406000
10;1730000;1356000;148000;2054000;462000
10.5;1885000;1567000;165000;2302000;515000
11;2040000;1778000;181000;2549000;565000
11.5;2140000;1899000;193000;2750000;604000
12;2241000;2020000;205000;2876000;641000
12.5;2280000;2099000;212000;2950000;670000
13;2300000;2178000;218000;2982000;696000
13.5;2300000;2221000;223000;2995000;715000
14;2300000;2263000;225000;2998000;730000
14.5;2300000;2281000;225000;3000000;739000
15;2300000;2300000;225000;3000000;746000
15.5;2300000;2300000;225000;3000000;749000
16;2300000;2300000;225000;3000000;750000
16.5;2300000;2300000;225000;3000000;748000
17;2300000;2300000;225000;3000000;745000
17.5;2300000;2300000;225000;3000000;740000
18;2300000;2300000;225000;3000000;735000
18.5;2300000;2300000;225000;3000000;729000
19;2300000;2300000;225000;3000000;723000
19.5;2300000;2300000;225000;3000000;718000
20;2300000;2300000;225000;3000000;712000
20.5;2300000;2300000;225000;3000000;707000
21;2300000;2300000;225000;3000000;701000
21.5;2300000;2300000;225000;3000000;698000
22;2300000;2300000;225000;3000000;694000
22.5;2300000;2300000;225000;3000000;694000
23;2300000;2300000;225000;3000000;693000
23.5;2300000;2300000;225000;3000000;694000
24;2300000;2300000;225000;3000000;695000
24.5;2300000;2300000;225000;3000000;698000
25;2300000;2300000;225000;3000000;700000
25.5;0;0;0;0;0
